PDF: /Users/jackey/NUS Dropbox/Zeqi Chen/Tiffany/raw_data/2021/Apr2021.pdf
Title page: 6 | Table start page: 8
Parsing page: 8 (crop_right_ratio=0.65)
Numeric centers (xc): (206.56182432000003, 252.91021680000003, 332.01957024)
label | pref_hit | zenkoku_hit | brand | nums_by_x (decimals, 全国 allows ints)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
指数契約比率 |  |  | 指数契約比率 | 
①②②/① |  |  | ①②②/① | 
山口 | 山口 |  | general | (21.1, 21.0, 7.5)
コシヒカリ |  |  | コシヒカリ | (7.9, 6.7, 3.3)
ひとめぼれ |  |  | ひとめぼれ | (5.7, 4.6, 1.7)
ヒノヒカリ |  |  | ヒノヒカリ | (2.9, 3.9, 1.0)
徳島 | 徳島 |  | general | (6.2, 4.0, 3.1)
コシヒカリ |  |  | コシヒカリ | (1.8, 2.1, 1.7)
あきさかり |  |  | あきさかり | (3.4, 1.3, 1.0)
香川 | 香川 |  | general | (19.6, 15.6, 5.5)
コシヒカリ |  |  | コシヒカリ | (6.4, 5.8, 2.2)
ヒノヒカリ |  |  | ヒノヒカリ | (5.7, 5.2, 1.5)
おいでまい |  |  | おいでまい | (3.5, 2.7, 1.2)
愛媛 | 愛媛 |  | general | (8.3, 5.4, 4.4)
コシヒカリ |  |  | コシヒカリ | (3.6, 2.3, 2.1)
ヒノヒカリ |  |  | ヒノヒカリ | (1.1, 0.9, 0.5)
あきたこまち |  |  | あきたこまち | (1.0, 0.6, 0.5)
高知 | 高知 |  | general | (8.9, 7.8, 7.8)
コシヒカリ |  |  | コシヒカリ | (5.8, 5.8, 5.8)
ヒノヒカリ |  |  | ヒノヒカリ | (1.3, 0.8, 0.8)
福岡 | 福岡 |  | general | (37.8, 32.0, 15.3)
夢つくし |  |  | 夢つくし | (12.7, 11.0, 6.4)
ヒノヒカリ |  |  | ヒノヒカリ | (9.4, 8.9, 3.0)
元気つくし |  |  | 元気つくし | (12.7, 9.7, 5.2)
佐賀 | 佐賀 |  | general | (28.9, 15.4, 10.4)
夢しずく |  |  | 夢しずく | (9.6, 5.4, 3.9)
さがびより |  |  | さがびより | (9.9, 4.6, 2.4)
ヒノヒカリ |  |  | ヒノヒカリ | (6.1, 2.4, 2.0)
長崎 | 長崎 |  | general | (7.8, 7.4, 2.9)
ヒノヒカリ |  |  | ヒノヒカリ | (1.5, 2.0, 0.4)
にこまる |  |  | にこまる | (3.2, 3.4, 1.1)
コシヒカリ |  |  | コシヒカリ | (1.0, 0.8, 0.6)
熊本 | 熊本 |  | general | (28.5, 8.4, 8.4)
ヒノヒカリ |  |  | ヒノヒカリ | (11.3, 2.7, 2.7)
森のくまさん |  |  | 森のくまさん | (5.1, 1.0, 1.0)
コシヒカリ |  |  | コシヒカリ | (5.5, 2.8, 2.8)
大分 | 大分 |  | general | (7.6, 8.8, 2.6)
ヒノヒカリ |  |  | ヒノヒカリ | (4.1, 5.3, 1.2)
ひとめぼれ |  |  | ひとめぼれ | (0.6, 0.5, 0.2)
つや姫 |  |  | つや姫 | (1.7, 1.9, 0.7)
宮崎 | 宮崎 |  | general | (11.7, 11.3, 8.7)
コシヒカリ |  |  | コシヒカリ | (6.1, 6.1, 6.1)
ヒノヒカリ |  |  | ヒノヒカリ | (4.8, 4.6, 2.1)
鹿児島 | 鹿児島 |  | general | (9.5, 8.8, 8.8)
ヒノヒカリ |  |  | ヒノヒカリ | (2.9, 2.4, 2.4)
あきほなみ |  |  | あきほなみ | (1.6, 1.5, 1.5)
コシヒカリ |  |  | コシヒカリ | (3.2, 3.2, 3.2)
沖縄 | 沖縄 |  | general | (1.3, 1.3, 1.3)
全国 |  | YES | general | (2889.0, 2200.0, 900.0)
参前年同月(元年産) |  |  | 参前年同月(元年産) | 
考前年同月差 |  |  | 考前年同月差 | 
７全国欄には産地の特定が出来ない未検査米等を含んでいるため、産地の合計と一致しない。 |  |  | ７全国欄には産地の特定が出来ない未検査米等を含んでいるため、産地の合計と一致しない。 | 
９「参考：前年同月比」で、令和元年産又は令和２年産の同時期に数量がなかった場合は、「… |  |  | ９「参考：前年同月比」で、令和元年産又は令和２年産の同時期に数量がなかった場合は、「… | 
契約 |  |  | 契約 | 
