text,x0,x1,top,doctop,bottom,upright,height,width,direction,fontname,size
‐,279.0,282.672,796.3197,19320.3197,808.3197,True,12.0,3.6720000000000255,ltr,DKHPAI+Calibri,12.0
10,288.12,300.26640000000003,796.3197,19320.3197,808.3197,True,12.0,12.146400000000028,ltr,DKHPBI+Calibri,12.0
‐,303.1188,306.79080000000005,796.3197,19320.3197,808.3197,True,12.0,3.6720000000000255,ltr,DKHPAI+Calibri,12.0
集荷・契約・販売数量（島根から沖縄まで、全国計）,41.46,240.47442783000008,62.37404599999991,18586.374046,71.6829459999999,True,9.308899999999994,199.01442783000007,ltr,DKFEKD+MS-PGothic,9.308899999999994
(玄米千ﾄﾝ),156.3,187.60871074,123.24882400000001,18647.248824,130.075424,True,6.826599999999985,31.30871073999998,ltr,DKFEKD+MS-PGothic,6.826599999999985
(玄米千ﾄﾝ),227.70792835000003,259.01663909,123.24882400000001,18647.248824,130.075424,True,6.826599999999985,31.30871073999998,ltr,DKFEKD+MS-PGothic,6.826599999999985
(玄米千ﾄﾝ),299.17595806,330.42525041,123.24882400000001,18647.248824,130.075424,True,6.826599999999985,31.249292349999962,ltr,DKFEKD+MS-PGothic,6.826599999999985
島,41.46,49.531400000000005,133.82147799999996,18657.821478,141.8891779999999,True,8.067699999999945,8.071400000000004,ltr,DKFEKD+MS-PGothic,8.067699999999945
根,55.139408720000006,63.21080872,133.82147799999996,18657.821478,141.8891779999999,True,8.067699999999945,8.071399999999997,ltr,DKFEKD+MS-PGothic,8.067699999999945
33.0,167.52,183.93527006000002,133.11404599999992,18657.114046,142.4229459999999,True,9.308899999999994,16.41527006000001,ltr,DKFEKD+MS-PGothic,9.308899999999994
28.9,238.91888115,255.33415121000004,133.11404599999992,18657.114046,142.4229459999999,True,9.308899999999994,16.41527006000004,ltr,DKFEKD+MS-PGothic,9.308899999999994
9.0,315.2974768700001,326.73303236000004,133.11404599999992,18657.114046,142.4229459999999,True,9.308899999999994,11.435555489999956,ltr,DKFEKD+MS-PGothic,9.308899999999994
+,384.18,386.75,133.815022,18657.815022,141.26232200000004,True,7.447300000000041,2.569999999999993,ltr,DKFEKD+MS-PGothic,7.447300000000041
(コシヒカリ),66.3,103.50188973999998,144.98147800000004,18668.981478,153.04917799999998,True,8.067699999999945,37.201889739999984,ltr,DKFEKD+MS-PGothic,8.067699999999945
18.3,167.52,183.93527006000002,144.274046,18668.274046,153.582946,True,9.308899999999994,16.41527006000001,ltr,DKFEKD+MS-PGothic,9.308899999999994
15.1,238.91888115,255.33415121000004,144.274046,18668.274046,153.582946,True,9.308899999999994,16.41527006000004,ltr,DKFEKD+MS-PGothic,9.308899999999994
5.4,315.2974768700001,326.73303236000004,144.274046,18668.274046,153.582946,True,9.308899999999994,11.435555489999956,ltr,DKFEKD+MS-PGothic,9.308899999999994
