text,x0,x1,top,doctop,bottom,upright,height,width,direction,fontname,size
集荷・契約・販売数量（北海道から千葉まで）,48.3,228.08536683000005,70.38994000000002,10174.389940000001,80.00594000000001,True,9.615999999999985,179.78536683000004,ltr,CKEKBD+MS-PGothic,9.615999999999985
契約比率,252.72,286.07109197,102.39254600000004,10206.392546,110.72644600000001,True,8.333899999999971,33.35109197,ltr,CKEKBD+MS-PGothic,8.333899999999971
販売比,366.78001808,386.75,102.39254600000004,10206.392546,110.72644600000001,True,8.333899999999971,19.96998192000001,ltr,CKEKBD+MS-PGothic,8.333899999999971
①,151.5,158.5493,123.595324,10227.595324,130.646924,True,7.051600000000008,7.049299999999988,ltr,CKEKBD+MS-PGothic,7.051600000000008
②,209.16045428,216.20975428,123.595324,10227.595324,130.646924,True,7.051600000000008,7.049299999999988,ltr,CKEKBD+MS-PGothic,7.051600000000008
②/①,260.40040611999996,278.36977675,123.595324,10227.595324,130.646924,True,7.051600000000008,17.96937063000007,ltr,CKEKBD+MS-PGothic,7.051600000000008
③,323.220948,330.27024800000004,123.595324,10227.595324,130.646924,True,7.051600000000008,7.0493000000000166,ltr,CKEKBD+MS-PGothic,7.051600000000008
③/①,374.52081889,386.75,123.595324,10227.595324,130.646924,True,7.051600000000008,12.229181110000013,ltr,CKEKBD+MS-PGothic,7.051600000000008
(玄米千ﾄﾝ),150.17966611,182.45841081,133.19537223999998,10237.19537224,140.24697224,True,7.051600000000008,32.278744700000004,ltr,CKEKBD+MS-PGothic,7.051600000000008
(玄米千ﾄﾝ),207.25079891000001,239.51262529000002,133.19537223999998,10237.19537224,140.24697224,True,7.051600000000008,32.26182638,ltr,CKEKBD+MS-PGothic,7.051600000000008
(玄米千ﾄﾝ),321.30494826,353.58369295999984,133.19537223999998,10237.19537224,140.24697224,True,7.051600000000008,32.278744699999834,ltr,CKEKBD+MS-PGothic,7.051600000000008
北海道,48.3,73.31102797999999,144.09254599999997,10248.092546,152.42644599999994,True,8.333899999999971,25.011027979999994,ltr,CKEKBD+MS-PGothic,8.333899999999971
