PDF: /Users/jackey/NUS Dropbox/Zeqi Chen/Tiffany/raw_data/2017/Oct2017.pdf
Title page: 17 | Table start page: 18
Parsing page: 19 (crop_right_ratio=0.65)
Numeric centers (xc): (176.883051775, 233.912317065, 347.9718089150001)
label | pref_hit | zenkoku_hit | brand | nums_by_x (decimals, 全国 allows ints)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
①②②/① |  |  | ①②②/① | 
(千玄米ﾄﾝ)(千玄米ﾄﾝ) |  |  | 千玄米ﾄﾝ)(千玄米ﾄﾝ | 
東京 | 東京 |  | general | 
神奈川 | 神奈川 |  | general | (2.9, 2.5, 2.5)
山梨 | 山梨 |  | general | (6.3, 5.6, 5.6)
(コシヒカリ) |  |  | コシヒカリ | (5.4, 4.8, 4.8)
(あさひの夢) |  |  | あさひの夢 | (0.2, 0.2, 0.2)
長野 | 長野 |  | general | (72.5, 72.3, 58.3)
(コシヒカリ) |  |  | コシヒカリ | (57.7, 57.6, 46.0)
(あきたこまち) |  |  | あきたこまち | (8.3, 8.2, 7.0)
静岡 | 静岡 |  | general | (7.2, 6.3, 6.3)
(コシヒカリ) |  |  | コシヒカリ | (4.8, 4.4, 4.4)
(きぬむすめ) |  |  | きぬむすめ | (0.8, 0.6, 0.6)
(あいちのかおり) |  |  | あいちのかおり | (0.9, 0.7, 0.7)
新潟 | 新潟 |  | general | (285.2, 282.8, 239.0)
(コシヒカリ一般) |  |  | コシヒカリ一般 | (163.6, 162.2, 133.0)
(コシヒカリ魚沼) |  |  | コシヒカリ魚沼 | (26.1, 25.4, 23.2)
(コシヒカリ岩船) |  |  | コシヒカリ岩船 | (13.5, 13.5, 12.5)
(コシヒカリ佐渡) |  |  | コシヒカリ佐渡 | (15.8, 15.7, 14.0)
(こしいぶき) |  |  | こしいぶき | (43.5, 43.4, 37.2)
富山 | 富山 |  | general | (111.6, 110.8, 97.5)
(コシヒカリ) |  |  | コシヒカリ | (91.9, 91.3, 81.8)
(てんたかく) |  |  | てんたかく | (9.5, 9.3, 8.0)
石川 | 石川 |  | general | (33.9, 33.8, 26.1)
(コシヒカリ) |  |  | コシヒカリ | (24.0, 24.0, 19.1)
(ゆめみづほ) |  |  | ゆめみづほ | (6.9, 6.9, 5.1)
福井 | 福井 |  | general | (65.0, 64.5, 56.5)
(コシヒカリ) |  |  | コシヒカリ | (31.8, 31.8, 28.4)
(ハナエチゼン) |  |  | ハナエチゼン | (19.5, 19.4, 16.9)
岐阜 | 岐阜 |  | general | (27.5, 27.0, 21.3)
(ハツシモ) |  |  | ハツシモ | (11.7, 11.4, 8.4)
(コシヒカリ) |  |  | コシヒカリ | (8.8, 8.6, 7.2)
(あきたこまち) |  |  | あきたこまち | (2.1, 2.1, 2.0)
愛知 | 愛知 |  | general | (37.3, 34.7, 30.4)
(あいちのかおり) |  |  | あいちのかおり | (18.4, 17.0, 14.1)
(コシヒカリ) |  |  | コシヒカリ | (11.4, 11.0, 10.2)
(大地の風) |  |  | 大地の風 | (1.5, 1.2, 1.1)
三重 | 三重 |  | general | (31.9, 31.8, 29.3)
(コシヒカリ一般) |  |  | コシヒカリ一般 | (18.1, 18.1, 17.4)
(コシヒカリ伊賀) |  |  | コシヒカリ伊賀 | (6.8, 6.8, 6.3)
(キヌヒカリ) |  |  | キヌヒカリ | (2.7, 2.7, 1.9)
滋賀 | 滋賀 |  | general | (65.6, 65.6, 60.3)
(コシヒカリ) |  |  | コシヒカリ | (24.7, 24.7, 23.0)
(キヌヒカリ) |  |  | キヌヒカリ | (13.5, 13.5, 12.6)
(日本晴) |  |  | 日本晴 | (6.6, 6.6, 4.9)
京都 | 京都 |  | general | (14.4, 14.4, 12.3)
(コシヒカリ) |  |  | コシヒカリ | (8.6, 8.6, 7.3)
(キヌヒカリ) |  |  | キヌヒカリ | (3.2, 3.2, 2.7)
大阪 | 大阪 |  | general | 
兵庫 | 兵庫 |  | general | (41.0, 40.2, 34.0)
(コシヒカリ) |  |  | コシヒカリ | (11.7, 11.6, 10.6)
(ヒノヒカリ) |  |  | ヒノヒカリ | (4.6, 4.5, 4.0)
(キヌヒカリ) |  |  | キヌヒカリ | (4.2, 4.2, 3.7)
奈良 | 奈良 |  | general | (9.2, 9.2, 8.9)
(ヒノヒカリ) |  |  | ヒノヒカリ | (7.2, 7.2, 7.0)
(コシヒカリ) |  |  | コシヒカリ | (0.5, 0.5, 0.5)
和歌山 | 和歌山 |  | general | (2.1, 2.1, 1.6)
鳥取 | 鳥取 |  | general | (22.1, 21.4, 20.1)
(コシヒカリ) |  |  | コシヒカリ | (7.5, 7.2, 6.8)
(きぬむすめ) |  |  | きぬむすめ | (7.0, 6.8, 6.5)
(ひとめぼれ) |  |  | ひとめぼれ | (7.1, 7.0, 6.4)
‐ |  |  | ‐ | 
