text,x0,x1,top,doctop,bottom,upright,height,width,direction,fontname,size
集荷・契約・販売数量（北海道から静岡まで）,75.394,224.02639161000002,63.834474099999966,28143.8344741,71.84377410000002,True,8.009300000000053,148.63239161,ltr,RTXDBV+MS-PGothic,8.009300000000053
①,162.8891,169.4105,107.93301379999991,28187.9330138,114.34041379999996,True,6.407400000000052,6.5214,ltr,RTXDBV+MS-PGothic,6.407400000000052
②,203.64785,210.16925,107.93301379999991,28187.9330138,114.34041379999996,True,6.407400000000052,6.5214,ltr,RTXDBV+MS-PGothic,6.407400000000052
②/①,239.51555000000002,255.81905,107.93301379999991,28187.9330138,114.34041379999996,True,6.407400000000052,16.303499999999985,ltr,RTXDBV+MS-PGothic,6.407400000000052
③,285.16535,291.68674999999996,107.93301379999991,28187.9330138,114.34041379999996,True,6.407400000000052,6.521399999999971,ltr,RTXDBV+MS-PGothic,6.407400000000052
③/①,321.03305,337.33655,107.93301379999991,28187.9330138,114.34041379999996,True,6.407400000000052,16.303499999999985,ltr,RTXDBV+MS-PGothic,6.407400000000052
北海道,75.394,96.58840000000001,118.15127180000002,28198.1512718,125.09267180000006,True,6.941400000000044,21.1944,ltr,RTXDBV+MS-PGothic,6.941400000000044
103,129.1953,142.2381,117.30301839999993,28197.3030184,125.8462184,True,8.54320000000007,13.0428,ltr,TXPFDR+MS-PGothic,8.54320000000007
284.2,163.4369976,182.4577476,117.30301839999993,28197.3030184,125.8462184,True,8.54320000000007,19.020749999999992,ltr,RTXDBV+MS-PGothic,8.54320000000007
271.5,204.19140000000002,223.21215,117.30301839999993,28197.3030184,125.8462184,True,8.54320000000007,19.020749999999992,ltr,TXPFDR+MS-PGothic,8.54320000000007
96%,253.64100240000002,266.68380240000005,117.30301839999993,28197.3030184,125.8462184,True,8.54320000000007,13.042800000000028,ltr,RTXDBV+MS-PGothic,8.54320000000007
168.8,285.7089,304.72965000000005,117.30301839999993,28197.3030184,125.8462184,True,8.54320000000007,19.02075000000002,ltr,RTXDBV+MS-PGothic,8.54320000000007
59%,335.15850240000003,348.20130240000003,117.30301839999993,28197.3030184,125.8462184,True,8.54320000000007,13.0428,ltr,RTXDBV+MS-PGothic,8.54320000000007
135.7,163.4283024,182.4490524,127.9820183999999,28207.9820184,136.52521839999997,True,8.54320000000007,19.020749999999992,ltr,TXPFDR+MS-PGothic,8.54320000000007
