PDF: /Users/jackey/NUS Dropbox/Zeqi Chen/Tiffany/raw_data/2021/Feb2021.pdf
Title page: 6 | Table start page: 7
Parsing page: 8 (crop_right_ratio=0.65)
Numeric centers (xc): (219.89981026499999, 265.46826517499994, 343.25770390499997)
label | pref_hit | zenkoku_hit | brand | nums_by_x (decimals, 全国 allows ints)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
指数比率 |  |  | 指数比率 | 
①②②/① |  |  | ①②②/① | 
山口 | 山口 |  | general | (21.1, 20.1, 5.1)
コシヒカリ |  |  | コシヒカリ | (7.9, 6.5, 2.4)
ひとめぼれ |  |  | ひとめぼれ | (5.7, 4.4, 1.2)
ヒノヒカリ |  |  | ヒノヒカリ | (2.9, 3.7, 0.5)
徳島 | 徳島 |  | general | (6.2, 3.7, 2.0)
コシヒカリ |  |  | コシヒカリ | (1.8, 2.1, 0.9)
キヌヒカリ |  |  | キヌヒカリ | (3.4, 1.1, 0.7)
香川 | 香川 |  | general | (19.3, 15.6, 3.1)
コシヒカリ |  |  | コシヒカリ | (6.3, 5.8, 1.6)
ヒノヒカリ |  |  | ヒノヒカリ | (5.6, 5.2, 0.7)
おいでまい |  |  | おいでまい | (3.4, 2.7, 0.6)
愛媛 | 愛媛 |  | general | (8.1, 5.3, 3.0)
コシヒカリ |  |  | コシヒカリ | (3.6, 2.3, 1.5)
ヒノヒカリ |  |  | ヒノヒカリ | (1.1, 0.9, 0.3)
あきたこまち |  |  | あきたこまち | (1.0, 0.5, 0.4)
高知 | 高知 |  | general | (8.9, 6.0, 6.0)
コシヒカリ |  |  | コシヒカリ | (5.8, 4.6, 4.6)
ヒノヒカリ |  |  | ヒノヒカリ | (1.3, 0.4, 0.4)
福岡 | 福岡 |  | general | (33.4, 38.4, 10.1)
夢つくし |  |  | 夢つくし | (11.8, 13.1, 4.7)
ヒノヒカリ |  |  | ヒノヒカリ | (8.1, 10.7, 1.8)
元気つくし |  |  | 元気つくし | (10.6, 13.0, 3.0)
佐賀 | 佐賀 |  | general | (24.9, 9.0, 6.6)
夢しずく |  |  | 夢しずく | (8.7, 3.4, 2.5)
さがびより |  |  | さがびより | (7.5, 1.7, 1.2)
ヒノヒカリ |  |  | ヒノヒカリ | (5.5, 1.7, 1.0)
長崎 | 長崎 |  | general | (7.1, 7.4, 1.7)
ヒノヒカリ |  |  | ヒノヒカリ | (1.3, 2.0, 0.2)
にこまる |  |  | にこまる | (2.8, 3.4, 0.5)
コシヒカリ |  |  | コシヒカリ | (1.0, 0.8, 0.5)
熊本 | 熊本 |  | general | (24.2, 5.8, 5.8)
ヒノヒカリ |  |  | ヒノヒカリ | (10.2, 1.6, 1.6)
森のくまさん |  |  | 森のくまさん | (3.1, 0.6, 0.6)
コシヒカリ |  |  | コシヒカリ | (5.5, 2.4, 2.4)
大分 | 大分 |  | general | (7.6, 7.1, 1.7)
ヒノヒカリ |  |  | ヒノヒカリ | (4.1, 4.1, 0.7)
ひとめぼれ |  |  | ひとめぼれ | (0.6, 0.5, 0.1)
つや姫 |  |  | つや姫 | (1.8, 1.6, 0.5)
宮崎 | 宮崎 |  | general | (10.4, 7.8, 7.8)
コシヒカリ |  |  | コシヒカリ | (6.1, 6.1, 6.1)
ヒノヒカリ |  |  | ヒノヒカリ | (3.7, 1.2, 1.2)
鹿児島 | 鹿児島 |  | general | (7.4, 7.4, 6.7)
ヒノヒカリ |  |  | ヒノヒカリ | (2.0, 2.0, 1.5)
あきほなみ |  |  | あきほなみ | (0.5, 0.5, 0.4)
コシヒカリ |  |  | コシヒカリ | (3.2, 3.2, 3.2)
沖縄 | 沖縄 |  | general | (1.3, 1.3, 1.2)
全 |  |  | 全 | 
参 |  |  | 参 | 
考前年同月差 |  |  | 考前年同月差 | 
７全国欄には産地の特定が出来ない未検査米等を含んでいるため、産地の合計と一致しない。 |  |  | ７全国欄には産地の特定が出来ない未検査米等を含んでいるため、産地の合計と一致しない。 | 
９「参考：前年同月比」で、令和元年産又は令和２年産の同時期に数量がなかった場合は、「… |  |  | ９「参考：前年同月比」で、令和元年産又は令和２年産の同時期に数量がなかった場合は、「… | 
契約 |  |  | 契約 | 
