PDF: /Users/jackey/NUS Dropbox/Zeqi Chen/Tiffany/raw_data/2022/Nov2022.pdf
Title page: 36 | Table start page: 36
Parsing page: 36 (crop_right_ratio=0.65)
Numeric centers (xc): (231.21585216, 284.84043248, 344.41792576000006)
label | pref_hit | zenkoku_hit | brand | nums_by_x (decimals, 全国 allows ints)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
２令和４年産米の産地別契約・販売状況 |  |  | ２令和４年産米の産地別契約・販売状況 | 
（累計、うるち米、 |  |  | （累計、うるち米、 | 
指数 |  |  | 指数 | 
①② |  |  | ①② | 
北海道 | 北海道 |  | general | (67.9, 169.2, 6.0)
ななつぼし |  |  | ななつぼし | (29.8, 96.1, 2.6)
ゆめぴりか |  |  | ゆめぴりか | (32.4, 42.5, 1.6)
きらら３９７ |  |  | きらら３９７ | (0.6, 14.7, nan)
青森 | 青森 |  | general | (16.1, 63.0, 0.7)
まっしぐら |  |  | まっしぐら | (5.1, 46.9, 0.1)
つがるロマン |  |  | つがるロマン | (3.4, 7.3, 0.1)
岩手 | 岩手 |  | general | (5.8, 70.7, 0.5)
ひとめぼれ |  |  | ひとめぼれ | (4.5, 54.4, 0.3)
あきたこまち |  |  | あきたこまち | (0.3, 6.5, 0.1)
銀河のしずく |  |  | 銀河のしずく | (0.5, 5.6, 0.1)
宮城 | 宮城 |  | general | (25.4, 116.1, 1.0)
ひとめぼれ |  |  | ひとめぼれ | (21.5, 89.1, 0.9)
つや姫 |  |  | つや姫 | (0.2, 11.5, 0.0)
ササニシキ |  |  | ササニシキ | (2.1, 7.9, 0.1)
秋田 | 秋田 |  | general | (53.9, 167.6, 1.8)
あきたこまち |  |  | あきたこまち | (52.9, 144.0, 1.7)
めんこいな |  |  | めんこいな | (0.1, 5.2, nan)
ひとめぼれ |  |  | ひとめぼれ | (0.2, 13.9, nan)
山形 | 山形 |  | general | (27.3, 86.0, 1.0)
はえぬき |  |  | はえぬき | (14.1, 42.1, 0.4)
つや姫 |  |  | つや姫 | (1.2, 21.1, 0.2)
雪若丸 |  |  | 雪若丸 | (5.3, 11.6, 0.2)
福島 | 福島 |  | general | (11.7, 54.7, 0.3)
コシヒカリ中通り |  |  | コシヒカリ中通り | (1.1, 6.8, 0.0)
コシヒカリ会津 |  |  | コシヒカリ会津 | (3.7, 26.8, 0.0)
コシヒカリ浜通り |  |  | コシヒカリ浜通り | (0.4, 3.1, nan)
ひとめぼれ |  |  | ひとめぼれ | (4.0, 8.0, 0.1)
天のつぶ |  |  | 天のつぶ | (0.6, 7.1, nan)
茨城 | 茨城 |  | general | (41.3, 36.5, 3.9)
コシヒカリ |  |  | コシヒカリ | (29.9, 22.4, 1.6)
あきたこまち |  |  | あきたこまち | (6.9, 8.7, 2.0)
ふくまる |  |  | ふくまる | (2.2, 2.0, 0.1)
栃木 | 栃木 |  | general | (46.2, 62.4, 1.0)
コシヒカリ |  |  | コシヒカリ | (41.7, 52.3, 0.8)
とちぎの星 |  |  | とちぎの星 | (1.7, 5.4, 0.0)
あさひの夢 |  |  | あさひの夢 | (0.2, 2.6, nan)
群馬 | 群馬 |  | general | 
あさひの夢 |  |  | あさひの夢 | 
ゆめまつり |  |  | ゆめまつり | 
埼玉 | 埼玉 |  | general | (5.7, 9.5, 0.0)
彩のかがやき |  |  | 彩のかがやき | (0.0, 3.9, nan)
彩のきずな |  |  | 彩のきずな | (2.6, 3.8, nan)
コシヒカリ |  |  | コシヒカリ | (3.1, 1.8, 0.0)
千葉 | 千葉 |  | general | (34.3, 10.6, 8.2)
コシヒカリ |  |  | コシヒカリ | (16.2, 5.2, 2.8)
ふさこがね |  |  | ふさこがね | (6.3, 1.3, 1.3)
ふさおとめ |  |  | ふさおとめ | (8.1, 3.4, 3.4)
東京 | 東京 |  | general | 
神奈川 | 神奈川 |  | general | (0.2, nan, nan)
山梨 | 山梨 |  | general | (1.1, 0.0, 0.0)
コシヒカリ |  |  | コシヒカリ | (0.9, 0.0, 0.0)
長野 | 長野 |  | general | (12.3, 36.7, 0.8)
コシヒカリ |  |  | コシヒカリ | (10.1, 28.6, 0.5)
あきたこまち |  |  | あきたこまち | (0.9, 4.6, 0.2)
静岡 | 静岡 |  | general | (4.1, 1.7, 0.5)
コシヒカリ |  |  | コシヒカリ | (3.7, 1.4, 0.5)
きぬむすめ |  |  | きぬむすめ | (0.2, 0.1, nan)
あいちのかおり |  |  | あいちのかおり | (nan, 0.1, nan)
契約 |  |  | 契約 | 
