PDF: /Users/jackey/NUS Dropbox/Zeqi Chen/Tiffany/raw_data/2019/Feb2019.pdf
Title page: 14 | Table start page: 14
Parsing page: 15 (crop_right_ratio=0.65)
Numeric centers (xc): (185.39616817499999, 256.134778995, 326.90338178999997)
label | pref_hit | zenkoku_hit | brand | nums_by_x (decimals, 全国 allows ints)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
（東京から鳥取まで） |  |  | 東京から鳥取まで | 
(千玄米ﾄﾝ)(千玄米ﾄﾝ) |  |  | 千玄米ﾄﾝ)(千玄米ﾄﾝ | 
東京 | 東京 |  | general | (0.0, 0.0, 0.0)
神奈川 | 神奈川 |  | general | (2.3, 0.8, 0.8)
山梨 | 山梨 |  | general | (5.8, 1.3, 1.3)
コシヒカリ |  |  | コシヒカリ | (4.9, 1.1, 1.1)
長野 | 長野 |  | general | (65.9, 44.5, 12.6)
コシヒカリ |  |  | コシヒカリ | (52.1, 35.5, 9.5)
あきたこまち |  |  | あきたこまち | (7.4, 4.6, 1.2)
静岡 | 静岡 |  | general | (8.4, 2.4, 2.0)
コシヒカリ |  |  | コシヒカリ | (5.7, 1.6, 1.4)
きぬむすめ |  |  | きぬむすめ | (1.1, 0.2, 0.2)
あいちのかおり |  |  | あいちのかおり | (0.8, 0.3, 0.3)
新潟 | 新潟 |  | general | (250.4, 223.0, 78.3)
コシヒカリ一般 |  |  | コシヒカリ一般 | (121.1, 111.5, 40.9)
コシヒカリ魚沼 |  |  | コシヒカリ魚沼 | (27.3, 22.1, 9.8)
コシヒカリ佐渡 |  |  | コシヒカリ佐渡 | (12.0, 11.7, 4.3)
コシヒカリ岩船 |  |  | コシヒカリ岩船 | (10.3, 11.1, 3.2)
こしいぶき |  |  | こしいぶき | (44.9, 35.5, 9.4)
富山 | 富山 |  | general | (87.9, 62.4, 26.0)
コシヒカリ |  |  | コシヒカリ | (67.1, 48.3, 20.0)
てんたかく |  |  | てんたかく | (8.2, 5.8, 3.3)
石川 | 石川 |  | general | (26.8, 23.8, 4.9)
コシヒカリ |  |  | コシヒカリ | (16.6, 15.4, 2.0)
ゆめみづほ |  |  | ゆめみづほ | (5.3, 4.1, 1.4)
福井 | 福井 |  | general | (65.3, 52.7, 24.0)
コシヒカリ |  |  | コシヒカリ | (28.5, 19.7, 8.9)
ハナエチゼン |  |  | ハナエチゼン | (19.2, 16.8, 10.0)
岐阜 | 岐阜 |  | general | (17.3, 14.1, 5.8)
ハツシモ |  |  | ハツシモ | (6.5, 7.5, 1.7)
コシヒカリ |  |  | コシヒカリ | (5.9, 3.1, 1.5)
あきたこまち |  |  | あきたこまち | (1.7, 1.7, 1.4)
愛知 | 愛知 |  | general | (30.3, 30.3, 9.3)
あいちのかおり |  |  | あいちのかおり | (16.0, 17.3, 3.8)
コシヒカリ |  |  | コシヒカリ | (9.3, 9.1, 3.6)
大地の風 |  |  | 大地の風 | (1.2, 1.3, 0.3)
三重 | 三重 |  | general | (27.3, 22.1, 7.5)
コシヒカリ一般 |  |  | コシヒカリ一般 | (14.9, 13.2, 4.2)
コシヒカリ伊賀 |  |  | コシヒカリ伊賀 | (6.3, 4.6, 1.3)
キヌヒカリ |  |  | キヌヒカリ | (2.1, 1.1, 0.4)
滋賀 | 滋賀 |  | general | (46.8, 54.7, 16.9)
コシヒカリ |  |  | コシヒカリ | (17.6, 21.1, 7.3)
キヌヒカリ |  |  | キヌヒカリ | (8.4, 10.1, 2.8)
日本晴 |  |  | 日本晴 | (3.5, 4.8, 0.5)
京都 | 京都 |  | general | (9.1, 9.7, 2.6)
コシヒカリ |  |  | コシヒカリ | (5.3, 6.3, 1.6)
キヌヒカリ |  |  | キヌヒカリ | (2.1, 2.3, 0.7)
ヒノヒカリ |  |  | ヒノヒカリ | (0.9, 0.9, 0.1)
大阪 | 大阪 |  | general | 
兵庫 | 兵庫 |  | general | (39.5, 28.7, 12.8)
コシヒカリ |  |  | コシヒカリ | (10.9, 7.5, 3.3)
ヒノヒカリ |  |  | ヒノヒカリ | (4.1, 2.6, 0.7)
キヌヒカリ |  |  | キヌヒカリ | (3.1, 1.7, 0.7)
奈良 | 奈良 |  | general | (7.9, 1.8, 1.8)
ヒノヒカリ |  |  | ヒノヒカリ | (6.1, 1.3, 1.3)
和歌山 | 和歌山 |  | general | (0.9, 0.9, 0.3)
鳥取 | 鳥取 |  | general | (22.3, 16.2, 5.6)
コシヒカリ |  |  | コシヒカリ | (7.6, 5.8, 2.1)
きぬむすめ |  |  | きぬむすめ | (8.4, 5.6, 1.4)
ひとめぼれ |  |  | ひとめぼれ | (5.9, 4.5, 1.9)
‐6‐ |  |  | ‐6‐ | 
