PDF: /Users/jackey/NUS Dropbox/Zeqi Chen/Tiffany/raw_data/2023/Oct2023.pdf
Title page: 43 | Table start page: 43
Parsing page: 45 (crop_right_ratio=0.65)
Numeric centers (xc): (207.5626208, 250.73227505, 337.1024404)
label | pref_hit | zenkoku_hit | brand | nums_by_x (decimals, 全国 allows ints)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
指数比率 |  |  | 指数比率 | 
①②②/① |  |  | ①②②/① | 
山口 | 山口 |  | general | (42.0, 40.6, 33.3)
コシヒカリ |  |  | コシヒカリ | (11.3, 11.1, 9.5)
ひとめぼれ |  |  | ひとめぼれ | (9.9, 9.4, 7.9)
ヒノヒカリ |  |  | ヒノヒカリ | (6.0, 5.9, 4.6)
徳島 | 徳島 |  | general | (5.7, 5.7, 5.5)
コシヒカリ |  |  | コシヒカリ | (2.3, 2.3, 2.1)
あきさかり |  |  | あきさかり | (2.8, 2.8, 2.8)
香川 | 香川 |  | general | (21.0, 23.4, 17.8)
コシヒカリ |  |  | コシヒカリ | (6.1, 6.5, 5.4)
ヒノヒカリ |  |  | ヒノヒカリ | (5.8, 6.6, 5.1)
おいでまい |  |  | おいでまい | (3.9, 4.5, 3.3)
愛媛 | 愛媛 |  | general | (12.6, 12.5, 9.0)
コシヒカリ |  |  | コシヒカリ | (4.3, 4.3, 3.8)
ヒノヒカリ |  |  | ヒノヒカリ | (2.2, 2.2, 1.5)
あきたこまち |  |  | あきたこまち | (1.5, 1.4, 1.0)
高知 | 高知 |  | general | (9.6, 9.5, 9.5)
コシヒカリ |  |  | コシヒカリ | (6.5, 6.5, 6.5)
ヒノヒカリ |  |  | ヒノヒカリ | (1.3, 1.3, 1.3)
福岡 | 福岡 |  | general | (51.9, 51.3, 41.9)
夢つくし |  |  | 夢つくし | (17.7, 17.6, 15.6)
ヒノヒカリ |  |  | ヒノヒカリ | (12.7, 12.6, 9.7)
元気つくし |  |  | 元気つくし | (16.7, 16.3, 13.4)
佐賀 | 佐賀 |  | general | (33.1, 32.8, 23.3)
さがびより |  |  | さがびより | (12.9, 12.9, 7.7)
夢しずく |  |  | 夢しずく | (11.4, 11.4, 8.6)
ヒノヒカリ |  |  | ヒノヒカリ | (5.6, 5.6, 4.0)
長崎 | 長崎 |  | general | (8.9, 9.1, 7.1)
にこまる |  |  | にこまる | (3.4, 3.5, 2.8)
ヒノヒカリ |  |  | ヒノヒカリ | (1.4, 1.3, 1.1)
なつほのか |  |  | なつほのか | (2.2, 2.5, 1.7)
熊本 | 熊本 |  | general | (30.3, 26.2, 26.2)
ヒノヒカリ |  |  | ヒノヒカリ | (11.9, 10.3, 10.3)
森のくまさん |  |  | 森のくまさん | (4.4, 4.0, 4.0)
コシヒカリ |  |  | コシヒカリ | (5.7, 5.0, 5.0)
大分 | 大分 |  | general | (15.1, 16.1, 12.0)
ヒノヒカリ |  |  | ヒノヒカリ | (6.9, 7.1, 5.3)
ひとめぼれ |  |  | ひとめぼれ | (2.2, 2.2, 1.9)
つや姫 |  |  | つや姫 | (2.2, 2.2, 2.0)
宮崎 | 宮崎 |  | general | (12.6, 12.3, 12.2)
コシヒカリ |  |  | コシヒカリ | (5.6, 5.6, 5.6)
ヒノヒカリ |  |  | ヒノヒカリ | (5.3, 4.9, 4.9)
鹿児島 | 鹿児島 |  | general | (15.5, 15.5, 13.6)
ヒノヒカリ |  |  | ヒノヒカリ | (6.6, 6.6, 5.8)
あきほなみ |  |  | あきほなみ | (3.3, 3.3, 2.3)
コシヒカリ |  |  | コシヒカリ | (2.8, 2.8, 2.8)
沖縄 | 沖縄 |  | general | (1.2, 1.2, 1.2)
全国 |  | YES | general | (2733.0, 2695.0, 2171.0)
参前年同月(３年産) |  |  | 参前年同月(３年産) | 
考前年同月差 |  |  | 考前年同月差 | 
２報告対象米穀は、水稲うるちもみ及び水稲うるち玄米（醸造用玄米を含む |  |  | ２報告対象米穀は、水稲うるちもみ及び水稲うるち玄米（醸造用玄米を含む | 
した数量である。 |  |  | した数量である。 | 
７全国欄には産地の特定が出来ない未検査米等を含んでいるため、産地の合 |  |  | ７全国欄には産地の特定が出来ない未検査米等を含んでいるため、産地の合 | 
９「参考：前年同月比」で、令和４年産又は令和３年産の同時期に数量がな |  |  | ９「参考：前年同月比」で、令和４年産又は令和３年産の同時期に数量がな | 
契約 |  |  | 契約 | 
