PDF: /Users/jackey/NUS Dropbox/Zeqi Chen/Tiffany/raw_data/2022/Jun2022.pdf
Title page: 35 | Table start page: 35
Parsing page: 37 (crop_right_ratio=0.65)
Numeric centers (xc): (213.721264435, 260.97002942499995, 341.670407715)
label | pref_hit | zenkoku_hit | brand | nums_by_x (decimals, 全国 allows ints)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
指数比率 |  |  | 指数比率 | 
①②②/① |  |  | ①②②/① | 
山口 | 山口 |  | general | (37.6, 26.0, 14.7)
コシヒカリ |  |  | コシヒカリ | (9.2, 7.1, 4.6)
ひとめぼれ |  |  | ひとめぼれ | (8.0, 5.5, 2.8)
ヒノヒカリ |  |  | ヒノヒカリ | (6.0, 3.3, 1.6)
徳島 | 徳島 |  | general | (5.8, 5.8, 3.6)
コシヒカリ |  |  | コシヒカリ | (2.2, 2.2, 1.5)
あきさかり |  |  | あきさかり | (3.0, 3.0, 1.6)
香川 | 香川 |  | general | (20.3, 15.5, 7.5)
コシヒカリ |  |  | コシヒカリ | (6.1, 5.8, 2.7)
ヒノヒカリ |  |  | ヒノヒカリ | (5.9, 5.2, 2.0)
おいでまい |  |  | おいでまい | (3.7, 2.6, 1.7)
愛媛 | 愛媛 |  | general | (10.9, 9.2, 5.7)
コシヒカリ |  |  | コシヒカリ | (3.7, 3.7, 2.4)
ヒノヒカリ |  |  | ヒノヒカリ | (2.2, 1.5, 0.8)
あきたこまち |  |  | あきたこまち | (1.1, 0.9, 0.5)
高知 | 高知 |  | general | (9.8, 10.9, 9.3)
コシヒカリ |  |  | コシヒカリ | (6.7, 8.0, 6.7)
ヒノヒカリ |  |  | ヒノヒカリ | (1.4, 1.2, 1.2)
福岡 | 福岡 |  | general | (49.5, 46.5, 20.7)
夢つくし |  |  | 夢つくし | (15.4, 14.4, 7.6)
ヒノヒカリ |  |  | ヒノヒカリ | (13.3, 12.8, 4.2)
元気つくし |  |  | 元気つくし | (15.3, 14.1, 6.8)
佐賀 | 佐賀 |  | general | (37.4, 24.7, 14.0)
夢しずく |  |  | 夢しずく | (12.0, 8.9, 4.9)
さがびより |  |  | さがびより | (13.6, 7.3, 3.7)
ヒノヒカリ |  |  | ヒノヒカリ | (8.2, 5.3, 3.0)
長崎 | 長崎 |  | general | (10.3, 8.4, 3.6)
にこまる |  |  | にこまる | (4.3, 3.7, 1.1)
ヒノヒカリ |  |  | ヒノヒカリ | (1.8, 1.8, 0.7)
コシヒカリ |  |  | コシヒカリ | (1.2, 0.9, 0.7)
熊本 | 熊本 |  | general | (34.8, 15.5, 15.5)
ヒノヒカリ |  |  | ヒノヒカリ | (13.8, 5.2, 5.2)
森のくまさん |  |  | 森のくまさん | (5.5, 2.2, 2.2)
コシヒカリ |  |  | コシヒカリ | (6.3, 3.7, 3.7)
大分 | 大分 |  | general | (14.8, 13.8, 6.2)
ヒノヒカリ |  |  | ヒノヒカリ | (8.4, 7.7, 3.4)
ひとめぼれ |  |  | ひとめぼれ | (2.1, 2.1, 0.9)
つや姫 |  |  | つや姫 | (2.1, 1.9, 1.1)
宮崎 | 宮崎 |  | general | (12.3, 12.3, 9.1)
コシヒカリ |  |  | コシヒカリ | (5.8, 5.8, 5.8)
ヒノヒカリ |  |  | ヒノヒカリ | (5.6, 5.6, 2.6)
鹿児島 | 鹿児島 |  | general | (12.5, 12.5, 9.4)
ヒノヒカリ |  |  | ヒノヒカリ | (3.8, 3.8, 2.2)
あきほなみ |  |  | あきほなみ | (2.5, 2.5, 1.2)
コシヒカリ |  |  | コシヒカリ | (3.3, 3.3, 3.3)
沖縄 | 沖縄 |  | general | (1.3, 1.3, 1.3)
全国 |  | YES | general | (2883.0, 2568.0, 1352.0)
参前年同月(２年産) |  |  | 参前年同月(２年産) | 
考前年同月差 |  |  | 考前年同月差 | 
２報告対象米穀は、水稲うるちもみ及び水稲うるち玄米（醸造用玄米を含む。）である。 |  |  | ２報告対象米穀は、水稲うるちもみ及び水稲うるち玄米（醸造用玄米を含む。）である。 | 
７全国欄には産地の特定が出来ない未検査米等を含んでいるため、産地の合計と一致しない |  |  | ７全国欄には産地の特定が出来ない未検査米等を含んでいるため、産地の合計と一致しない | 
９「参考：前年同月比」で、令和２年産又は令和３年産の同時期に数量がなかった場合は、「… |  |  | ９「参考：前年同月比」で、令和２年産又は令和３年産の同時期に数量がなかった場合は、「… | 
契約 |  |  | 契約 | 
