PDF: /Users/jackey/NUS Dropbox/Zeqi Chen/Tiffany/raw_data/2025/Apr2025.pdf
Title page: 34 | Table start page: 34
Parsing page: 35 (crop_right_ratio=0.65)
Numeric centers (xc): (177.187552125, 218.00147942499999, 299.646949825)
label | pref_hit | zenkoku_hit | brand | nums_by_x (decimals, 全国 allows ints)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
指数比率 |  |  | 指数比率 | 
①②②/①③ |  |  | ①②②/①③ | 
新潟 | 新潟 |  | general | (247.1, 228.5, 103.3)
コシヒカリ（一般） |  |  | コシヒカリ（一般） | (117.8, 113.4, 47.0)
コシヒカリ（魚沼） |  |  | コシヒカリ（魚沼） | (30.8, 26.0, 14.9)
コシヒカリ（佐渡） |  |  | コシヒカリ（佐渡） | (11.8, 11.8, 4.4)
コシヒカリ（岩船） |  |  | コシヒカリ（岩船） | (10.6, 10.6, 4.2)
こしいぶき |  |  | こしいぶき | (33.7, 32.8, 14.4)
富山 | 富山 |  | general | (70.0, 60.9, 28.1)
コシヒカリ |  |  | コシヒカリ | (44.8, 39.6, 20.0)
てんたかく |  |  | てんたかく | (6.8, 6.0, 2.8)
石川 | 石川 |  | general | (26.9, 29.6, 10.5)
コシヒカリ |  |  | コシヒカリ | (10.1, 10.9, 4.3)
ゆめみづほ |  |  | ゆめみづほ | (6.8, 6.1, 1.6)
福井 | 福井 |  | general | (42.4, 42.9, 21.1)
コシヒカリ |  |  | コシヒカリ | (15.4, 16.1, 6.5)
ハナエチゼン |  |  | ハナエチゼン | (11.7, 12.5, 7.8)
あきさかり |  |  | あきさかり | (3.9, 4.1, 1.2)
岐阜 | 岐阜 |  | general | (10.7, 9.8, 5.6)
ハツシモ |  |  | ハツシモ | (3.4, 3.9, 1.6)
コシヒカリ |  |  | コシヒカリ | (3.7, 2.4, 1.7)
ほしじるし |  |  | ほしじるし | (0.9, 1.2, 0.6)
愛知 | 愛知 |  | general | (26.5, 26.5, 12.5)
あいちのかおり |  |  | あいちのかおり | (13.7, 13.7, 5.2)
コシヒカリ |  |  | コシヒカリ | (7.1, 7.1, 4.3)
大地の風 |  |  | 大地の風 | (0.9, 0.9, 0.3)
三重 | 三重 |  | general | (15.4, 21.4, 7.7)
コシヒカリ（一般） |  |  | コシヒカリ（一般） | (6.1, 11.7, 4.0)
コシヒカリ（伊賀） |  |  | コシヒカリ（伊賀） | (4.3, 4.6, 1.9)
キヌヒカリ |  |  | キヌヒカリ | (0.6, 1.2, 0.4)
滋賀 | 滋賀 |  | general | (43.5, 36.0, 24.3)
コシヒカリ |  |  | コシヒカリ | (15.7, 12.6, 8.9)
キヌヒカリ |  |  | キヌヒカリ | (7.1, 5.9, 3.9)
みずかがみ |  |  | みずかがみ | (9.0, 8.2, 5.9)
京都 | 京都 |  | general | (6.2, 4.2, 3.3)
コシヒカリ |  |  | コシヒカリ | (3.8, 2.2, 2.1)
キヌヒカリ |  |  | キヌヒカリ | (0.8, 0.6, 0.5)
ヒノヒカリ |  |  | ヒノヒカリ | (0.5, 0.4, 0.2)
大阪 | 大阪 |  | general | 
兵庫 | 兵庫 |  | general | (17.1, 17.2, 7.8)
コシヒカリ |  |  | コシヒカリ | (8.1, 8.7, 4.8)
ヒノヒカリ |  |  | ヒノヒカリ | (2.4, 2.7, 0.8)
キヌヒカリ |  |  | キヌヒカリ | (2.8, 2.7, 1.3)
奈良 | 奈良 |  | general | (6.6, 3.1, 3.1)
ヒノヒカリ |  |  | ヒノヒカリ | (5.5, 2.4, 2.4)
和歌山 | 和歌山 |  | general | (0.8, 0.8, 0.4)
鳥取 | 鳥取 |  | general | (18.9, 14.2, 8.1)
きぬむすめ |  |  | きぬむすめ | (6.1, 3.8, 2.8)
コシヒカリ |  |  | コシヒカリ | (4.7, 4.6, nan)
ひとめぼれ |  |  | ひとめぼれ | (2.9, 2.6, 1.5)
島根 | 島根 |  | general | (28.0, 27.4, 13.4)
きぬむすめ |  |  | きぬむすめ | (12.3, 11.6, 5.2)
コシヒカリ |  |  | コシヒカリ | (9.3, 9.3, 4.9)
つや姫 |  |  | つや姫 | (4.7, 4.8, 2.4)
岡山 | 岡山 |  | general | (34.9, 35.4, 11.7)
アケボノ |  |  | アケボノ | (5.7, 4.7, 1.3)
きぬむすめ |  |  | きぬむすめ | (7.2, 8.0, 1.8)
コシヒカリ |  |  | コシヒカリ | (5.3, 5.7, 2.9)
広島 | 広島 |  | general | (26.3, 29.8, 15.9)
コシヒカリ |  |  | コシヒカリ | (9.9, 11.9, 5.8)
あきさかり |  |  | あきさかり | (5.1, 6.3, 3.0)
あきろまん |  |  | あきろまん | (2.4, 2.6, 1.5)
契約-4 |  |  | 契約-4 | 
