PDF: /Users/jackey/NUS Dropbox/Zeqi Chen/Tiffany/raw_data/2022/Jul2022.pdf
Title page: 36 | Table start page: 36
Parsing page: 37 (crop_right_ratio=0.65)
Numeric centers (xc): (203.15734462, 250.94683507000002, 332.45671634000007)
label | pref_hit | zenkoku_hit | brand | nums_by_x (decimals, 全国 allows ints)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
指数比率 |  |  | 指数比率 | 
①②②/① |  |  | ①②②/① | 
新潟 | 新潟 |  | general | (270.5, 262.0, 173.6)
コシヒカリ一般 |  |  | コシヒカリ一般 | (135.8, 132.1, 86.1)
コシヒカリ魚沼 |  |  | コシヒカリ魚沼 | (29.5, 26.5, 21.5)
コシヒカリ佐渡 |  |  | コシヒカリ佐渡 | (13.8, 13.8, 9.0)
コシヒカリ岩船 |  |  | コシヒカリ岩船 | (10.9, 11.2, 6.7)
こしいぶき |  |  | こしいぶき | (42.3, 41.1, 25.8)
富山 | 富山 |  | general | (86.4, 78.8, 46.3)
コシヒカリ |  |  | コシヒカリ | (60.9, 54.3, 34.4)
てんたかく |  |  | てんたかく | (8.3, 8.1, 4.9)
石川 | 石川 |  | general | (36.6, 34.7, 13.0)
コシヒカリ |  |  | コシヒカリ | (18.1, 16.8, 5.4)
ゆめみづほ |  |  | ゆめみづほ | (7.9, 7.8, 2.9)
福井 | 福井 |  | general | (55.3, 53.3, 32.0)
コシヒカリ |  |  | コシヒカリ | (20.4, 20.5, 12.9)
ハナエチゼン |  |  | ハナエチゼン | (17.1, 16.6, 10.0)
あきさかり |  |  | あきさかり | (5.0, 4.5, 2.5)
岐阜 | 岐阜 |  | general | (19.8, 19.0, 9.5)
ハツシモ |  |  | ハツシモ | (10.1, 8.8, 3.6)
コシヒカリ |  |  | コシヒカリ | (5.1, 4.6, 3.0)
あさひの夢 |  |  | あさひの夢 | (0.1, 0.1, 0.1)
愛知 | 愛知 |  | general | (36.8, 36.8, 21.5)
あいちのかおり |  |  | あいちのかおり | (20.4, 20.4, 10.7)
コシヒカリ |  |  | コシヒカリ | (10.6, 10.6, 7.0)
大地の風 |  |  | 大地の風 | (1.3, 1.3, 0.6)
三重 | 三重 |  | general | (26.8, 27.0, 16.3)
コシヒカリ一般 |  |  | コシヒカリ一般 | (13.0, 13.0, 8.1)
コシヒカリ伊賀 |  |  | コシヒカリ伊賀 | (6.0, 6.2, 3.6)
キヌヒカリ |  |  | キヌヒカリ | (2.1, 2.1, 1.4)
滋賀 | 滋賀 |  | general | (58.3, 54.8, 34.5)
コシヒカリ |  |  | コシヒカリ | (19.9, 19.2, 12.3)
キヌヒカリ |  |  | キヌヒカリ | (10.8, 10.0, 6.2)
みずかがみ |  |  | みずかがみ | (11.3, 10.7, 7.2)
京都 | 京都 |  | general | (8.8, 8.7, 5.9)
コシヒカリ |  |  | コシヒカリ | (5.3, 5.3, 3.9)
キヌヒカリ |  |  | キヌヒカリ | (1.6, 1.6, 1.1)
ヒノヒカリ |  |  | ヒノヒカリ | (1.0, 1.0, 0.6)
大阪 | 大阪 |  | general | 
兵庫 | 兵庫 |  | general | (39.9, 38.0, 23.4)
コシヒカリ |  |  | コシヒカリ | (12.2, 11.9, 8.4)
ヒノヒカリ |  |  | ヒノヒカリ | (5.0, 4.3, 2.4)
キヌヒカリ |  |  | キヌヒカリ | (4.0, 3.7, 2.4)
奈良 | 奈良 |  | general | (9.0, 4.6, 4.6)
ヒノヒカリ |  |  | ヒノヒカリ | (7.7, 3.8, 3.8)
和歌山 | 和歌山 |  | general | (0.8, 0.8, 0.8)
鳥取 | 鳥取 |  | general | (24.8, 24.6, 11.2)
きぬむすめ |  |  | きぬむすめ | (8.7, 8.6, 2.1)
コシヒカリ |  |  | コシヒカリ | (6.2, 6.2, 3.5)
ひとめぼれ |  |  | ひとめぼれ | (4.4, 4.4, 2.6)
島根 | 島根 |  | general | (34.3, 31.6, 18.1)
コシヒカリ |  |  | コシヒカリ | (13.0, 12.5, 7.7)
きぬむすめ |  |  | きぬむすめ | (14.1, 12.7, 6.7)
つや姫 |  |  | つや姫 | (4.9, 4.6, 2.6)
岡山 | 岡山 |  | general | (42.7, 34.0, 20.1)
アケボノ |  |  | アケボノ | (8.4, 7.5, 2.4)
コシヒカリ |  |  | コシヒカリ | (6.9, 5.8, 5.1)
きぬむすめ |  |  | きぬむすめ | (7.9, 5.1, 2.8)
広島 | 広島 |  | general | (31.4, 34.2, 17.6)
コシヒカリ |  |  | コシヒカリ | (12.6, 16.5, 8.3)
あきさかり |  |  | あきさかり | (7.3, 8.5, 2.9)
あきろまん |  |  | あきろまん | (3.0, 2.6, 1.6)
契約 |  |  | 契約 | 
