PDF: /Users/jackey/NUS Dropbox/Zeqi Chen/Tiffany/raw_data/2023/Feb2023.pdf
Title page: 34 | Table start page: 34
Parsing page: 35 (crop_right_ratio=0.65)
Numeric centers (xc): (222.733254755, 279.09102847500003, 338.445719565)
label | pref_hit | zenkoku_hit | brand | nums_by_x (decimals, 全国 allows ints)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
指数 |  |  | 指数 | 
①② |  |  | ①② | 
新潟 | 新潟 |  | general | (261.7, 219.0, 59.3)
コシヒカリ一般 |  |  | コシヒカリ一般 | (135.0, 114.7, 25.3)
コシヒカリ魚沼 |  |  | コシヒカリ魚沼 | (29.0, 21.0, 8.5)
コシヒカリ佐渡 |  |  | コシヒカリ佐渡 | (14.5, 13.0, 3.4)
コシヒカリ岩船 |  |  | コシヒカリ岩船 | (10.3, 9.9, 2.5)
こしいぶき |  |  | こしいぶき | (35.3, 29.1, 8.0)
富山 | 富山 |  | general | (82.9, 61.8, 16.5)
コシヒカリ |  |  | コシヒカリ | (59.8, 45.5, 12.6)
てんたかく |  |  | てんたかく | (7.5, 5.9, 1.7)
石川 | 石川 |  | general | (32.1, 21.5, 4.6)
コシヒカリ |  |  | コシヒカリ | (16.6, 13.4, 2.3)
ゆめみづほ |  |  | ゆめみづほ | (4.5, 2.8, 0.6)
福井 | 福井 |  | general | (51.6, 36.9, 15.4)
コシヒカリ |  |  | コシヒカリ | (20.7, 13.7, 5.2)
ハナエチゼン |  |  | ハナエチゼン | (14.5, 10.4, 6.3)
あきさかり |  |  | あきさかり | (5.2, 2.3, 0.9)
岐阜 | 岐阜 |  | general | (18.2, 17.3, 3.7)
ハツシモ |  |  | ハツシモ | (8.7, 8.4, 1.2)
コシヒカリ |  |  | コシヒカリ | (5.0, 3.7, 1.2)
ほしじるし |  |  | ほしじるし | (1.0, 2.2, 0.0)
愛知 | 愛知 |  | general | (35.0, 35.2, 8.2)
あいちのかおり |  |  | あいちのかおり | (17.9, 18.1, 3.0)
コシヒカリ |  |  | コシヒカリ | (10.6, 10.6, 3.1)
大地の風 |  |  | 大地の風 | (1.3, 1.3, 0.2)
三重 | 三重 |  | general | (25.5, 23.8, 7.7)
コシヒカリ一般 |  |  | コシヒカリ一般 | (12.6, 13.8, 4.4)
コシヒカリ伊賀 |  |  | コシヒカリ伊賀 | (6.3, 5.3, 1.8)
キヌヒカリ |  |  | キヌヒカリ | (1.6, 1.3, 0.2)
滋賀 | 滋賀 |  | general | (47.9, 45.6, 12.9)
コシヒカリ |  |  | コシヒカリ | (15.2, 17.6, 4.5)
キヌヒカリ |  |  | キヌヒカリ | (8.9, 7.4, 2.0)
みずかがみ |  |  | みずかがみ | (10.6, 9.2, 4.1)
京都 | 京都 |  | general | (8.2, 9.8, 2.2)
コシヒカリ |  |  | コシヒカリ | (4.8, 5.6, 1.4)
キヌヒカリ |  |  | キヌヒカリ | (1.5, 1.5, 0.3)
ヒノヒカリ |  |  | ヒノヒカリ | (0.7, 1.2, 0.2)
大阪 | 大阪 |  | general | 
兵庫 | 兵庫 |  | general | (45.4, 29.9, 11.8)
コシヒカリ |  |  | コシヒカリ | (16.2, 9.7, 4.4)
ヒノヒカリ |  |  | ヒノヒカリ | (5.5, 2.8, 0.6)
キヌヒカリ |  |  | キヌヒカリ | (5.2, 2.2, 1.0)
奈良 | 奈良 |  | general | (10.8, 1.3, 1.3)
ヒノヒカリ |  |  | ヒノヒカリ | (9.1, 1.0, 1.0)
和歌山 | 和歌山 |  | general | (1.8, 1.8, 1.8)
鳥取 | 鳥取 |  | general | (20.3, 17.4, 3.8)
きぬむすめ |  |  | きぬむすめ | (6.6, 4.9, 0.4)
コシヒカリ |  |  | コシヒカリ | (6.0, 5.3, 1.2)
ひとめぼれ |  |  | ひとめぼれ | (3.1, 3.5, 1.2)
島根 | 島根 |  | general | (31.7, 24.9, 6.0)
きぬむすめ |  |  | きぬむすめ | (13.2, 9.7, 1.7)
コシヒカリ |  |  | コシヒカリ | (11.8, 10.0, 3.0)
つや姫 |  |  | つや姫 | (5.1, 3.7, 0.7)
岡山 | 岡山 |  | general | (39.5, 12.5, 6.1)
アケボノ |  |  | アケボノ | (5.9, 1.5, 0.4)
きぬむすめ |  |  | きぬむすめ | (7.7, 1.8, 0.6)
コシヒカリ |  |  | コシヒカリ | (7.3, 2.6, 2.1)
広島 | 広島 |  | general | (33.1, 31.4, 6.0)
コシヒカリ |  |  | コシヒカリ | (13.1, 14.8, 2.6)
あきさかり |  |  | あきさかり | (7.1, 8.6, 0.9)
あきろまん |  |  | あきろまん | (3.0, 2.3, 0.4)
契約 |  |  | 契約 | 
