PDF: /Users/jackey/NUS Dropbox/Zeqi Chen/Tiffany/raw_data/2019/Jun2019.pdf
Title page: 9 | Table start page: 10
Parsing page: 12 (crop_right_ratio=0.65)
Numeric centers (xc): (169.02491314500003, 226.86342596500003, 342.48102113500005)
label | pref_hit | zenkoku_hit | brand | nums_by_x (decimals, 全国 allows ints)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
契約比率 |  |  | 契約比率 | 
①②②/① |  |  | ①②②/① | 
(千玄米ﾄﾝ)(千玄米ﾄﾝ) |  |  | 千玄米ﾄﾝ)(千玄米ﾄﾝ | 
山口 | 山口 |  | general | (39.9, 37.8, 19.6)
コシヒカリ |  |  | コシヒカリ | (11.8, 11.3, 6.6)
ひとめぼれ |  |  | ひとめぼれ | (9.8, 9.4, 5.4)
ヒノヒカリ |  |  | ヒノヒカリ | (8.5, 8.1, 3.7)
徳島 | 徳島 |  | general | (4.9, 3.8, 3.4)
コシヒカリ |  |  | コシヒカリ | (2.3, 2.0, 1.9)
キヌヒカリ |  |  | キヌヒカリ | (1.3, 0.8, 0.7)
香川 | 香川 |  | general | (21.5, 19.6, 10.1)
ヒノヒカリ |  |  | ヒノヒカリ | (6.6, 6.5, 2.9)
コシヒカリ |  |  | コシヒカリ | (7.6, 7.2, 3.9)
おいでまい |  |  | おいでまい | (4.4, 3.8, 2.1)
愛媛 | 愛媛 |  | general | (9.8, 7.8, 6.5)
コシヒカリ |  |  | コシヒカリ | (3.9, 3.2, 2.8)
ヒノヒカリ |  |  | ヒノヒカリ | (1.7, 1.0, 1.0)
あきたこまち |  |  | あきたこまち | (1.3, 0.9, 0.9)
高知 | 高知 |  | general | (8.4, 7.8, 7.8)
コシヒカリ |  |  | コシヒカリ | (5.8, 5.7, 5.7)
ヒノヒカリ |  |  | ヒノヒカリ | (0.9, 0.6, 0.6)
福岡 | 福岡 |  | general | (52.7, 47.2, 29.3)
夢つくし |  |  | 夢つくし | (17.0, 15.1, 10.1)
ヒノヒカリ |  |  | ヒノヒカリ | (13.9, 13.3, 8.4)
元気つくし |  |  | 元気つくし | (18.5, 16.2, 9.7)
佐賀 | 佐賀 |  | general | (42.0, 40.1, 19.8)
夢しずく |  |  | 夢しずく | (14.5, 13.5, 6.9)
さがびより |  |  | さがびより | (13.1, 13.0, 5.1)
ヒノヒカリ |  |  | ヒノヒカリ | (9.3, 8.9, 4.2)
長崎 | 長崎 |  | general | (11.5, 11.4, 6.0)
ヒノヒカリ |  |  | ヒノヒカリ | (3.4, 3.4, 1.7)
にこまる |  |  | にこまる | (5.0, 4.9, 2.1)
コシヒカリ |  |  | コシヒカリ | (1.4, 1.4, 1.1)
熊本 | 熊本 |  | general | (37.9, 26.7, 18.2)
ヒノヒカリ |  |  | ヒノヒカリ | (16.4, 8.9, 6.8)
森のくまさん |  |  | 森のくまさん | (7.5, 5.5, 2.9)
コシヒカリ |  |  | コシヒカリ | (5.7, 5.7, 4.1)
大分 | 大分 |  | general | (11.8, 11.9, 5.7)
ヒノヒカリ |  |  | ヒノヒカリ | (8.0, 8.0, 3.1)
ひとめぼれ |  |  | ひとめぼれ | (0.8, 0.8, 0.4)
宮崎 | 宮崎 |  | general | (14.8, 14.8, 12.6)
コシヒカリ |  |  | コシヒカリ | (8.5, 8.5, 8.5)
ヒノヒカリ |  |  | ヒノヒカリ | (5.4, 5.4, 3.4)
鹿児島 | 鹿児島 |  | general | (11.3, 11.3, 9.4)
ヒノヒカリ |  |  | ヒノヒカリ | (4.3, 4.3, 2.7)
コシヒカリ |  |  | コシヒカリ | (3.5, 3.5, 3.5)
あきほなみ |  |  | あきほなみ | (1.4, 1.4, 1.1)
沖縄 | 沖縄 |  | general | (1.6, 1.6, 1.5)
全国① |  | YES | general | (2779.0, 2599.0, 1541.0)
参前年同月(29年産)② |  |  | 参前年同月(29年産)② | 
考前年同月差(①-②) |  |  | 考前年同月差(①-②) | 
5,000トン以上）である。 |  |  | 5,000トン以上）である。 | 
２報告対象米穀は、水稲うるちもみ及び水稲うるち玄米（醸造用玄米を含む。）である。 |  |  | ２報告対象米穀は、水稲うるちもみ及び水稲うるち玄米（醸造用玄米を含む。）である。 | 
７全国欄には産地の特定が出来ない未検査米等を含んでいるため、産地の合計と一致しない。 |  |  | ７全国欄には産地の特定が出来ない未検査米等を含んでいるため、産地の合計と一致しない。 | 
９「参考：前年同月比」で、30年産又は29年産の同時期に数量がなかった場合は、「…」としている。 |  |  | ９「参考：前年同月比」で、30年産又は29年産の同時期に数量がなかった場合は、「…」としている。 | 
‐7 |  |  | ‐7 | 
