PDF: /Users/jackey/NUS Dropbox/Zeqi Chen/Tiffany/raw_data/2021/Jan2021.pdf
Title page: 8 | Table start page: 9
Parsing page: 9 (crop_right_ratio=0.65)
Numeric centers (xc): (214.051337625, 259.65017728500004, 339.89944701)
label | pref_hit | zenkoku_hit | brand | nums_by_x (decimals, 全国 allows ints)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
指数比率 |  |  | 指数比率 | 
①②②/① |  |  | ①②②/① | 
新潟 | 新潟 |  | general | (284.0, 215.0, 45.2)
コシヒカリ一般 |  |  | コシヒカリ一般 | (133.5, 105.1, 18.7)
コシヒカリ魚沼 |  |  | コシヒカリ魚沼 | (33.8, 15.9, 6.9)
コシヒカリ佐渡 |  |  | コシヒカリ佐渡 | (14.2, 12.9, 2.9)
コシヒカリ岩船 |  |  | コシヒカリ岩船 | (11.8, 10.7, 2.0)
こしいぶき |  |  | こしいぶき | (47.9, 39.0, 7.9)
富山 | 富山 |  | general | (90.2, 55.6, 13.0)
コシヒカリ |  |  | コシヒカリ | (64.4, 40.9, 9.3)
てんたかく |  |  | てんたかく | (8.2, 5.1, 1.6)
石川 | 石川 |  | general | (31.9, 21.5, 2.7)
コシヒカリ |  |  | コシヒカリ | (18.1, 11.3, 1.0)
ゆめみづほ |  |  | ゆめみづほ | (4.8, 3.8, 0.5)
福井 | 福井 |  | general | (51.6, 19.2, 3.4)
コシヒカリ |  |  | コシヒカリ | (21.5, 6.9, 1.3)
ハナエチゼン |  |  | ハナエチゼン | (12.6, 7.0, 0.9)
あきさかり |  |  | あきさかり | (5.6, 0.8, 0.2)
岐阜 | 岐阜 |  | general | (11.6, 12.3, 3.0)
ハツシモ |  |  | ハツシモ | (3.1, 7.1, 0.6)
コシヒカリ |  |  | コシヒカリ | (4.8, 2.8, 0.8)
あきたこまち |  |  | あきたこまち | (0.4, 0.1, 0.0)
愛知 | 愛知 |  | general | (29.5, 27.7, 4.9)
あいちのかおり |  |  | あいちのかおり | (15.5, 16.1, 1.3)
コシヒカリ |  |  | コシヒカリ | (9.8, 8.2, 2.2)
大地の風 |  |  | 大地の風 | (0.8, 1.2, 0.1)
三重 | 三重 |  | general | (24.3, 23.3, 4.9)
コシヒカリ一般 |  |  | コシヒカリ一般 | (12.8, 14.0, 2.5)
コシヒカリ伊賀 |  |  | コシヒカリ伊賀 | (6.0, 4.8, 1.3)
キヌヒカリ |  |  | キヌヒカリ | (2.0, 1.2, 0.2)
滋賀 | 滋賀 |  | general | (38.7, 38.7, 10.0)
コシヒカリ |  |  | コシヒカリ | (13.2, 14.5, 4.1)
キヌヒカリ |  |  | キヌヒカリ | (6.2, 6.7, 1.3)
みずかがみ |  |  | みずかがみ | (7.8, 7.2, 2.7)
京都 | 京都 |  | general | (7.1, 8.2, 1.1)
コシヒカリ |  |  | コシヒカリ | (4.6, 4.9, 0.8)
キヌヒカリ |  |  | キヌヒカリ | (1.3, 1.7, 0.1)
ヒノヒカリ |  |  | ヒノヒカリ | (0.4, 1.1, 0.0)
大阪 | 大阪 |  | general | 
兵庫 | 兵庫 |  | general | (35.8, 27.4, 7.1)
コシヒカリ |  |  | コシヒカリ | (11.8, 7.4, 2.4)
ヒノヒカリ |  |  | ヒノヒカリ | (3.3, 2.2, 0.3)
キヌヒカリ |  |  | キヌヒカリ | (3.7, 1.7, 0.5)
奈良 | 奈良 |  | general | (6.9, 0.7, 0.7)
ヒノヒカリ |  |  | ヒノヒカリ | (5.4, 0.5, 0.5)
和歌山 | 和歌山 |  | general | (0.5, 0.5, 0.2)
鳥取 | 鳥取 |  | general | (17.0, 8.7, 2.5)
コシヒカリ |  |  | コシヒカリ | (4.7, 2.1, 0.4)
きぬむすめ |  |  | きぬむすめ | (5.6, 1.9, 0.9)
ひとめぼれ |  |  | ひとめぼれ | (3.5, 2.3, 0.8)
島根 | 島根 |  | general | (25.6, 30.8, 5.0)
きぬむすめ |  |  | きぬむすめ | (10.8, 12.1, 2.2)
コシヒカリ |  |  | コシヒカリ | (9.5, 12.9, 1.5)
つや姫 |  |  | つや姫 | (2.9, 3.9, 0.9)
岡山 | 岡山 |  | general | (21.2, 22.1, 4.9)
アケボノ |  |  | アケボノ | (0.4, 0.7, 0.1)
あきたこまち |  |  | あきたこまち | (4.2, 4.3, 0.7)
ヒノヒカリ |  |  | ヒノヒカリ | (4.6, 4.2, 1.0)
広島 | 広島 |  | general | (28.2, 30.1, 4.7)
コシヒカリ |  |  | コシヒカリ | (11.9, 14.1, 2.5)
あきさかり |  |  | あきさかり | (6.7, 6.2, 0.6)
あきろまん |  |  | あきろまん | (2.2, 2.8, 0.3)
契約 |  |  | 契約 | 
